City,Latitude (generated),Longitude (generated)
Abbottabad,34.15,73.2138
Astore,35.347533,74.861062
Attock,33.772,72.368
Badin,24.65,68.833
Bahawal Nagar,30.55,73.39
Bahawalpur,29.3962,71.6869
Bajaur,34.782749,71.532708
Bannu,32.989,70.606
Battagram,,
Bhakhar,31.625,71.065
Bhambore,,
Buner,34.490828,72.518118
Chakwal,32.933,72.866
Charsadda,34.145,71.731
Chiniot,31.72,72.978
Chitral,,
Chitral Lower,,
Chitral Upper,,
Dadu,26.733,67.783
Dera Ghazi Khan,30.056,70.634
Dera Ismail Khan,31.832,70.902
Diamer,,
Dir Lower,34.868024,71.84701
Dir Upper,35.305038,72.096277
Dira Ismail Khan,31.832,70.902
Faisalabad,31.4155,73.0908
Ghanche,35.160867,76.341063
Ghotki,28.006,69.316
Gilgit,35.918473,74.3335
Gujranwala,32.1547,74.1804
Gujrat,32.572,74.089
Hafizabad,32.067,73.685
Hangu,33.528,71.058
Haripur,33.999,72.934
Hyderabad,25.3763,68.3432
Islamabad,33.7194,73.0741
Jacobabad,28.286,68.433
Jamshoro,,
Jehlum,32.940548,73.727631
Jhang,31.2465,72.3333
Kambar Shahdadkot,,
Karachi,24.8709,67.1145
Karak,33.110578,71.088365
Kashmore,28.433,69.583
Kasur,31.115,74.446
Khairpur,,
Khanewal,,
Kharmang,,
Khushab,32.296,72.352
Khyber,33.979947,71.139336
Kohat,33.586,71.442
Kohistan Lower,,
Kohistan upper,,
Kolai Pallas,,
Kurram,,
Kurrum,33.706747,70.389776
Lahore,31.4978,74.3601
Laiya,30.961,70.939
Lakki Marwat,32.607,70.911
Larkana,27.55,68.216
Lodhran,29.54,71.633
Malakand,34.56534,71.983561
Mandi Bahauddin,32.583,73.484
Mansehra,34.333,73.2
Mardan,34.198,72.045
Matiari,25.596,68.446
Mianwali,32.574,71.526
Mirpur,33.118377,73.744818
Mirpurkhas,25.525,69.015
Mohamand,,
Mohmand,,
Multan,30.1735,71.469
Muzaffarabad,34.37,73.471
Muzaffargar,30.075,71.192
Nagar,36.273351,74.726677
Nankana,31.447,73.697
Narowal,32.1,74.883
Naushero Feroz,26.842,68.122
North Waziristan,,
Nowshera,33.996,72.013
Okara,30.808,73.445
Orakzai,33.715754,71.005449
Pakpatan,,
Peshawar,34.0114,71.5645
Pishin,30.58,66.996
Quetta,30.1802,66.9964
Rahim yar khan,28.424043,70.300054
Raiwind,31.254,74.217
Rajanpur,29.103,70.325
Rawalpindi,33.5546,73.1064
Sahewal,,
Sanghar,26.033,68.95
Sargodha,32.0778,72.6722
Shaheed Benazirabad,,
Shangla,34.852059,72.738327
Sheikhupura,31.713,73.978
Shigar,,
Shikarpur,27.957,68.637
Shujawal,,
Sialkot,32.4836,74.556
Skardu,35.317806,75.552296
South Waziristan,32.399536,69.727014
Sujawal,,
Sukkur,27.7221,68.8333
Swabi,34.12,72.472
Swat,35.429612,72.566529
Taftan,28.959621,61.580755
Tando Alahyar,25.462,68.719
Tando M. Khan,25.133,68.533
Tank,32.221,70.379
Tharparkar,,
Thatta,24.747,67.923
Toba Tek Singh,30.974,72.482
Torghar,,
Trarkhel,,
Umerkot,25.366,69.733
Vehari,30.033,72.35
Ziarat,25.366,69.733
