LATITUDE,LONGITUDE,DATE
24.8607,67.0011,26/2/2020
27.7244,68.8228,16/3/2020
27.557,68.2028,16/3/2020
28.0271,69.3235,16/3/2020
27.5256,68.7551,16/3/2020
31.5204,74.3587,03/11/2020
33.5651,73.0169,03/11/2020
32.1877,74.1945,03/11/2020
30.1575,71.5249,03/11/2020
29.6869,71.6673,03/11/2020
32.074,72.6861,03/11/2020
32.0712,73.6895,03/11/2020
31.4504,73.135,03/11/2020
32.4945,74.5229,03/11/2020
30.0489,70.6455,03/11/2020
32.5731,74.1005,03/11/2020
34.1989,72.0231,13/3/2020
35.2227,72.4258,13/3/2020
34.0151,71.5249,13/3/2020
34.503,71.9046,13/3/2020
30.1798,66.975,03/10/2020
28.9604,61.5778,19/3/2020
33.6844,73.0479,10/03/2020
35.8819,74.4643,03/02/2020
35.4765,75.6964,03/12/2020
35.3247,75.551,19/03/2020
